,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number
701,HANGER PROSTHETICS & ORTHOTICS WEST INC,623 N MAIN ST,ORANGE,CA,92868,7149371998
702,HANGER PROSTHETICS & ORTHOTICS WEST INC,351 HOSPITAL RD STE 106,NEWPORT BEACH,CA,92663,9497227101
703,HANGER PROSTHETICS & ORTHOTICS WEST INC,500 E WILLOW ST,LONG BEACH,CA,90806,5622068032
704,HANGER PROSTHETICS & ORTHOTICS WEST INC,25982 PALA STE 100,MISSION VIEJO,CA,92691,9497707331
707,"SPECTRUM PROSTHETICS & ORTHOTICS OF REDDING, INC.",1399 MONTGOMERY RD,RED BLUFF,CA,96080,5305282200
717,HANGER PROSTHETICS & ORTHOTICS WEST INC,3650 E SOUTH ST STE 110B,LAKEWOOD,CA,90712,5622068025
725,STELLAR PROSTHETICS AND ORTHOTICS,2930 INLAND EMPIRE BLVD STE 118,ONTARIO,CA,91764,9099066624
727,HANGER PROSTHETICS & ORTHOTICS WEST INC,535 E ROMIE LN STE 3,SALINAS,CA,93901,8314229646
728,"ANCHOR ORTHOTICS & PROSTHETICS, INC.",1828 TRIBUTE RD STE G,SACRAMENTO,CA,95815,9164840685
737,UPRIGHT PROSTHETICS AND ORTHOTICS,10132 ARTESIA PL,BELLFLOWER,CA,90706,5624610334
742,HANGER PROSTHETICS & ORTHOTICS WEST INC,5525 DEWEY DR STE 102,FAIR OAKS,CA,95628,9168639494
743,HANGER PROSTHETICS & ORTHOTICS WEST INC,1248 32ND ST,SACRAMENTO,CA,95816,9164525724
744,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",7551 TIMBERLAKE WY STE 110,SACRAMENTO,CA,95823,9164056300
746,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1743 CREEKSIDE DR STE 110,FOLSOM,CA,95630,9169845606
750,ESSENTIAL ORTHOTICS & PROSTHETICS,41758 12TH ST W STE A,PALMDALE,CA,93551,6617233700
762,"DIABLO PROSTHETICS & ORTHOTICS, INC",2157 COUNTRY HILLS DR STE 208,ANTIOCH,CA,94509,9257559507
763,SPECTRUM PROSTHETICS & ORTHOTICS OF REDDING INC,1844 SOUTH ST,REDDING,CA,96001,5302434500
764,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",41707 WINCHESTER RD STE 102,TEMECULA,CA,92590,9512961894
765,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",6840 INDIANA AVE STE 120,RIVERSIDE,CA,92506,9517813011
766,"HANGER PROSTHETICS & ORTHOTICS WEST, INC..",680 PARKRIDGE AVE,NORCO,CA,92860,9517341835
767,HANGER PROSTHETICS & ORTHOTICS WEST INC,1101 BRYAN AVE STE C,TUSTIN,CA,92780,7144643436
769,HANGER PROSTHETICS & ORTHOTICS WEST INC,350 N WIGET LN STE 100,WALNUT CREEK,CA,94598,9252745980
770,STANCE PROSTHETICS & ORTHOTICS LLC,1125 E 17TH ST STE N354,SANTA ANA,CA,92701,7148523756
775,NORELL PROSTHETICS ORTHOTICS INC.,48521 WARM SPRINGS BLVD STE 317,FREMONT,CA,94539,5107709010
776,NORELL PROSTHETICS ORTHOTICS INC.,5466 COMPLEX ST STE 207,SAN DIEGO,CA,92123,5107709010
777,"SPECTRUM ORTHOTICS AND PROSTHETICS, INC",2275 MYERS ST STE C,OROVILLE,CA,95966,5305389500
778,"SPECTRUM ORTHOTICS AND PROSTHETICS, INC",2170 ESPLANADE,CHICO,CA,95926,5308921017
780,"SPECTRUM ORTHOTICS AND PROSTHETICS, INC.",887 PLUMAS ST STE A,YUBA CITY,CA,95991,5304188338
787,HANGER PROSTHETICS & ORTHOTICS WEST INC,4849 LONE TREE WAY STE A,ANTIOCH,CA,94531,9257541804
789,"ALLIANCE PROSTHETICS & ORTHOTICS, INC.",12458 WASHINGTON BLVD,WHITTIER,CA,90602,5629451111
790,AVOP-ANTELOPE VALLEY ORTHOTICS & PROSTHETICS,525 COMMERCE AVE,PALMDALE,CA,93551,6612670772
792,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3155 KEARNEY ST STE 130,FREMONT,CA,94538,5104906400
809,"ALEXANDER PROSTHETICS & ORTHOTICS, INC",660 E REGENT ST,INGLEWOOD,CA,90301,3106749179
